State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages Inhabited,Number of villages Uninhabited,Number of towns,Number of households,Persons,Males,Females,"Area
 (In sq. km)",Population per sq. km.
33,602,5699,SUB-DISTRICT,Poonamallee,Urban,0,0,11,151428,594760,300623,294137,102.27,5816
33,602,5700,SUB-DISTRICT,Ambattur,Total,12,0,10,231525,906580,457820,448760,180.4252865,5025
33,602,5700,SUB-DISTRICT,Ambattur,Rural,12,0,0,13518,54085,27585,26500,51.54,1049
33,602,5700,SUB-DISTRICT,Ambattur,Urban,0,0,10,218007,852495,430235,422260,128.89,6614
33,602,5701,SUB-DISTRICT,Mathavaram,Total,14,3,12,150990,596156,301303,294853,126.7913141,4702
33,602,5701,SUB-DISTRICT,Mathavaram,Rural,14,3,0,7597,29360,14752,14608,26.92131406,1091
33,602,5701,SUB-DISTRICT,Mathavaram,Urban,0,0,12,143393,566796,286551,280245,99.87,5675
33,603,0,DISTRICT,Chennai,Total,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0
33,603,0,DISTRICT,Chennai,Urban,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Total,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Rural,0,0,0,0,0,0,0,0,0
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Urban,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,604,0,DISTRICT,Kancheepuram,Total,962,57,75,1006245,3998252,2012958,1985294,4483,892
33,604,0,DISTRICT,Kancheepuram,Rural,962,57,0,361365,1459916,734979,724937,3818.41,382
33,604,0,DISTRICT,Kancheepuram,Urban,0,0,75,644880,2538336,1277979,1260357,664.59,3819
33,604,5702,SUB-DISTRICT,Sriperumbudur,Total,132,13,15,125938,510836,258881,251955,642.2939829,795
33,604,5702,SUB-DISTRICT,Sriperumbudur,Rural,132,13,0,53243,220796,112103,108693,535.9849829,412
33,604,5702,SUB-DISTRICT,Sriperumbudur,Urban,0,0,15,72695,290040,146778,143262,106.309,2728
33,604,5703,SUB-DISTRICT,Tambaram,Total,7,0,6,98067,383718,194083,189635,62.46225604,6143
33,604,5703,SUB-DISTRICT,Tambaram,Rural,7,0,0,6866,27396,13762,13634,11.14825604,2457
33,604,5703,SUB-DISTRICT,Tambaram,Urban,0,0,6,91201,356322,180321,176001,51.314,6944
33,604,5704,SUB-DISTRICT,Alandur ,Total,0,0,11,164765,642237,322086,320151,88.62,7247
33,604,5704,SUB-DISTRICT,Alandur ,Rural,0,0,0,0,0,0,0,0,0
33,604,5704,SUB-DISTRICT,Alandur ,Urban,0,0,11,164765,642237,322086,320151,88.62,7247
33,604,5705,SUB-DISTRICT,Sholinganallur ,Total,6,0,14,143615,563342,285167,278175,116.2032918,4848
33,604,5705,SUB-DISTRICT,Sholinganallur ,Rural,6,0,0,16480,70441,35719,34722,31.87329177,2210
33,604,5705,SUB-DISTRICT,Sholinganallur ,Urban,0,0,14,127135,492901,249448,243453,84.33,5845
33,604,5706,SUB-DISTRICT,Chengalpattu,Total,146,27,12,142062,573406,289210,284196,778.0105073,737
33,604,5706,SUB-DISTRICT,Chengalpattu,Rural,146,27,0,65025,264378,133414,130964,624.1505073,424
33,604,5706,SUB-DISTRICT,Chengalpattu,Urban,0,0,12,77037,309028,155796,153232,153.86,2009
33,604,5707,SUB-DISTRICT,Kancheepuram,Total,157,9,9,124877,497711,248707,249004,636.220987,782
33,604,5707,SUB-DISTRICT,Kancheepuram,Rural,157,9,0,55563,222626,111553,111073,581.320987,383
33,604,5707,SUB-DISTRICT,Kancheepuram,Urban,0,0,9,69314,275085,137154,137931,54.9,5011
33,604,5708,SUB-DISTRICT,Uthiramerur,Total,114,2,1,37075,148133,74204,73929,427.4493088,347
33,604,5708,SUB-DISTRICT,Uthiramerur,Rural,114,2,0,30878,122939,61635,61304,400.4493088,307
33,604,5708,SUB-DISTRICT,Uthiramerur,Urban,0,0,1,6197,25194,12569,12625,27,933
33,604,5709,SUB-DISTRICT,Tirukalukundram,Total,95,6,3,49599,196897,99401,97496,358.685075,549
33,604,5709,SUB-DISTRICT,Tirukalukundram,Rural,95,6,0,33136,131183,66179,65004,328.095075,400
33,604,5709,SUB-DISTRICT,Tirukalukundram,Urban,0,0,3,16463,65714,33222,32492,30.59,2148
33,604,5710,SUB-DISTRICT,Maduranthakam,Total,188,0,3,69772,275953,138050,137903,763.6344318,361
33,604,5710,SUB-DISTRICT,Maduranthakam,Rural,188,0,0,56433,222310,111401,110909,729.9644318,305
33,604,5710,SUB-DISTRICT,Maduranthakam,Urban,0,0,3,13339,53643,26649,26994,33.67,1593
33,604,5711,SUB-DISTRICT,Cheyyur,Total,117,0,1,50475,206019,103169,102850,609.4201593,338
33,604,5711,SUB-DISTRICT,Cheyyur,Rural,117,0,0,43741,177847,89213,88634,575.4201593,309
33,604,5711,SUB-DISTRICT,Cheyyur,Urban,0,0,1,6734,28172,13956,14216,34,829
33,605,0,DISTRICT,Vellore,Total,763,95,72,929281,3936331,1961688,1974643,6075,648
33,605,0,DISTRICT,Vellore,Rural,763,95,0,536706,2234344,1117101,1117243,5531.1,404
33,605,0,DISTRICT,Vellore,Urban,0,0,72,392575,1701987,844587,857400,543.9,3129
33,605,5712,SUB-DISTRICT,Gudiyatham,Total,78,18,6,98233,425353,210817,214536,722.72,589
33,605,5712,SUB-DISTRICT,Gudiyatham,Rural,78,18,0,55303,235672,117091,118581,686.86,343
33,605,5712,SUB-DISTRICT,Gudiyatham,Urban,0,0,6,42930,189681,93726,95955,35.86,5289
33,605,5713,SUB-DISTRICT,Katpadi,Total,88,12,9,92407,391100,195567,195533,509.09,768
33,605,5713,SUB-DISTRICT,Katpadi,Rural,88,12,0,60459,248137,122543,125594,413.138,601
33,605,5713,SUB-DISTRICT,Katpadi,Urban,0,0,9,31948,142963,73024,69939,95.952,1490
33,605,5714,SUB-DISTRICT,Wallajah,Total,69,4,9,105092,444758,221084,223674,506,879
33,605,5714,SUB-DISTRICT,Wallajah,Rural,69,4,0,51691,213602,106728,106874,421.67,507
33,605,5714,SUB-DISTRICT,Wallajah,Urban,0,0,9,53401,231156,114356,116800,84.33,2741
33,605,5715,SUB-DISTRICT,Arakonam,Total,133,5,8,122251,504026,251905,252121,842.97,598
33,605,5715,SUB-DISTRICT,Arakonam,Rural,133,5,0,84630,349641,174769,174872,785.79,445
33,605,5715,SUB-DISTRICT,Arakonam,Urban,0,0,8,37621,154385,77136,77249,57.18,2700
33,605,5716,SUB-DISTRICT,Arcot,Total,95,3,5,61730,250517,124705,125812,524.0515955,478
33,605,5716,SUB-DISTRICT,Arcot,Rural,95,3,0,38008,152294,76008,76286,491.7915955,310
33,605,5716,SUB-DISTRICT,Arcot,Urban,0,0,5,23722,98223,48697,49526,32.26,3045
33,605,5717,SUB-DISTRICT,Vellore,Total,93,22,17,166169,696110,343919,352191,876.99,794
33,605,5717,SUB-DISTRICT,Vellore,Rural,93,22,0,61916,254484,126298,128186,752.881,338
33,605,5717,SUB-DISTRICT,Vellore,Urban,0,0,17,104253,441626,217621,224005,124.109,3558
33,605,5718,SUB-DISTRICT,Vaniyambadi,Total,48,5,5,77178,336548,168996,167552,532.28,632
33,605,5718,SUB-DISTRICT,Vaniyambadi,Rural,48,5,0,47482,200000,101375,98625,501.5,399
