State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages Inhabited,Number of villages Uninhabited,Number of towns,Number of households,Persons,Males,Females,"Area
 (In sq. km)",Population per sq. km.
33,633,0,DISTRICT,Tiruppur,Rural,297,0,0,283187,957941,479309,478632,4354.47,220
33,633,0,DISTRICT,Tiruppur,Urban,0,0,49,429023,1521111,766850,754261,832.53,1827
33,633,5901,SUB-DISTRICT,Kangeyam,Total,39,0,3,64069,209385,104751,104634,842.4024835,249
33,633,5901,SUB-DISTRICT,Kangeyam,Rural,39,0,0,38515,123667,61824,61843,722.7824835,171
33,633,5901,SUB-DISTRICT,Kangeyam,Urban,0,0,3,25554,85718,42927,42791,119.62,717
33,633,5902,SUB-DISTRICT,Dharapuram,Total,62,0,6,86520,282752,140576,142176,1354.408838,209
33,633,5902,SUB-DISTRICT,Dharapuram,Rural,62,0,0,53660,170965,85519,85446,1174.638838,146
33,633,5902,SUB-DISTRICT,Dharapuram,Urban,0,0,6,32860,111787,55057,56730,179.77,622
33,633,5903,SUB-DISTRICT,Avanashi,Total,76,0,12,96346,340899,169340,171559,683.8449792,499
33,633,5903,SUB-DISTRICT,Avanashi,Rural,76,0,0,56027,196776,98134,98642,575.4949792,342
33,633,5903,SUB-DISTRICT,Avanashi,Urban,0,0,12,40319,144123,71206,72917,108.35,1330
33,633,5904,SUB-DISTRICT,Tiruppur,Total,10,0,14,274341,981247,499437,481810,372.1761147,2637
33,633,5904,SUB-DISTRICT,Tiruppur,Rural,10,0,0,18343,64322,32601,31721,164.2861147,392
33,633,5904,SUB-DISTRICT,Tiruppur,Urban,0,0,14,255998,916925,466836,450089,207.89,4411
33,633,5905,SUB-DISTRICT,Palladam,Total,25,0,5,70223,245522,123576,121946,502.8245884,488
33,633,5905,SUB-DISTRICT,Palladam,Rural,25,0,0,39955,139360,69911,69449,422.7245884,330
33,633,5905,SUB-DISTRICT,Palladam,Urban,0,0,5,30268,106162,53665,52497,80.1,1325
33,633,5906,SUB-DISTRICT,Udumalaipettai,Total,50,0,5,68008,237861,118141,119720,900.8551415,264
33,633,5906,SUB-DISTRICT,Udumalaipettai,Rural,50,0,0,38396,132190,66124,66066,841.7451415,157
33,633,5906,SUB-DISTRICT,Udumalaipettai,Urban,0,0,5,29612,105671,52017,53654,59.11,1788
33,633,5907,SUB-DISTRICT,Madathukulam,Total,35,0,4,52703,181386,90338,91048,530.4878544,342
33,633,5907,SUB-DISTRICT,Madathukulam,Rural,35,0,0,38291,130661,65196,65465,452.7988544,289
33,633,5907,SUB-DISTRICT,Madathukulam,Urban,0,0,4,14412,50725,25142,25583,77.689,653
